temperature1,humidity1,flame1,temperature2,humidity2,flames2,prediction_prob
19.0,66.0,0.0,19.6,58.0,0.0,
18.9,66.0,0.0,19.6,58.0,0.0,
19.0,64.0,0.0,19.6,58.0,0.0,
19.1,65.0,0.0,19.6,58.0,0.0,
18.9,60.0,0.0,19.6,58.0,0.0,
18.9,64.0,0.0,19.6,58.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
18.8,56.0,0.0,18.8,62.0,0.0,
